epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2;lr/pg3;lr/pg4;lr/pg5;lr/pg6;lr/pg7
133;1078.8;105.567;0.40225;0.00731;0.88879;0.76923;0,82467;0,43279;133.867;0.92941;0.00853;0.00260796;0.00086932;0.00260796;0.00086932;0.00260796;0.00086932;0.00260796;0.00086932
156;1265.49;0.93773;0.38251;0.00627;0.7018;0.76923;0,82423;0,46455;132.025;107.623;0.00869;0.00253965;0.00084655;0.00253965;0.00084655;0.00253965;0.00084655;0.00253965;0.00084655
167;1354.6;0.99128;0.3238;0.0066;0.75882;0.76923;0,82153;0,46685;134.803;0.94422;0.00897;0.00250698;0.00083566;0.00250698;0.00083566;0.00250698;0.00083566;0.00250698;0.00083566
59;478.901;139.622;0.5779;0.00953;0.72182;0.84615;0,82014;0,37269;145.026;0.68177;0.00928;0.00282774;0.00094258;0.00282774;0.00094258;0.00282774;0.00094258;0.00282774;0.00094258
91;738.164;111.235;0.39751;0.00793;0.941;0.61538;0,81989;0,51215;124.667;0.68882;0.00809;0.0027327;0.0009109;0.0027327;0.0009109;0.0027327;0.0009109;0.0027327;0.0009109
86;697.657;119.489;0.46493;0.00782;0.8884;0.69231;0,81914;0,45808;131.207;0.74518;0.00833;0.00274755;0.00091585;0.00274755;0.00091585;0.00274755;0.00091585;0.00274755;0.00091585
144;1168.14;100.904;0.3746;0.0063;0.65668;0.92308;0,81771;0,44111;136.216;0.75612;0.00882;0.00257529;0.00085843;0.00257529;0.00085843;0.00257529;0.00085843;0.00257529;0.00085843
170;1378.82;0.94093;0.30632;0.00591;0.64953;0.99804;0,81762;0,44633;140.424;0.73575;0.00898;0.00249807;0.00083269;0.00249807;0.00083269;0.00249807;0.00083269;0.00249807;0.00083269
168;1362.66;0.90857;0.31525;0.00607;0.6181;0.99616;0,81731;0,42776;133.276;0.81824;0.00867;0.00250401;0.00083467;0.00250401;0.00083467;0.00250401;0.00083467;0.00250401;0.00083467
45;365.681;142.086;0.91046;0.0103;0.68906;0.76923;0,81623;0,34833;135.086;0.85701;0.00827;0.00286932;0.00095644;0.00286932;0.00095644;0.00286932;0.00095644;0.00286932;0.00095644
68;552.029;132.277;0.63357;0.00926;0.66375;0.84615;0,81477;0,34965;157.445;0.88879;0.01017;0.00280101;0.00093367;0.00280101;0.00093367;0.00280101;0.00093367;0.00280101;0.00093367
145;1176.28;0.97264;0.35373;0.00625;0.66375;0.69231;0,81245;0,45193;13.415;0.90279;0.00883;0.00257232;0.00085744;0.00257232;0.00085744;0.00257232;0.00085744;0.00257232;0.00085744
