epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,495.23,1.30193,0.60787,0.00889,0.80567,0.76923,0.88186,0.40515,1.47539,0.67185,0.00932,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
62,503.228,1.39121,0.62391,0.0094,0.74604,0.84615,0.8755,0.39693,1.44008,0.67494,0.00889,0.00281883,0.00093961,0.00281883,0.00093961,0.00281883,0.00093961,0.00281883,0.00093961
63,511.505,1.31294,0.58601,0.00862,0.84727,0.76923,0.90172,0.38971,1.54499,0.65609,0.00982,0.00281586,0.00093862,0.00281586,0.00093862,0.00281586,0.00093862,0.00281586,0.00093862
64,519.645,1.33722,0.63295,0.00955,0.82057,0.76923,0.87234,0.38398,1.46986,0.76188,0.0093,0.00281289,0.00093763,0.00281289,0.00093763,0.00281289,0.00093763,0.00281289,0.00093763
65,527.813,1.38402,0.5359,0.00954,0.75098,0.76923,0.8617,0.36382,1.47184,0.73612,0.0093,0.00280992,0.00093664,0.00280992,0.00093664,0.00280992,0.00093664,0.00280992,0.00093664
66,535.886,1.37031,0.62,0.00926,0.59924,0.84615,0.73496,0.3811,1.50025,0.75419,0.00944,0.00280695,0.00093565,0.00280695,0.00093565,0.00280695,0.00093565,0.00280695,0.00093565
67,544.028,1.25934,0.59756,0.00861,0.57649,0.83807,0.713,0.34821,1.57143,0.74844,0.00985,0.00280398,0.00093466,0.00280398,0.00093466,0.00280398,0.00093466,0.00280398,0.00093466
68,552.029,1.32277,0.63357,0.00926,0.66375,0.84615,0.81477,0.34965,1.57445,0.88879,0.01017,0.00280101,0.00093367,0.00280101,0.00093367,0.00280101,0.00093367,0.00280101,0.00093367
69,560.153,1.29362,0.61836,0.00901,0.74438,0.89714,0.89291,0.43001,1.48086,0.63889,0.00913,0.00279804,0.00093268,0.00279804,0.00093268,0.00279804,0.00093268,0.00279804,0.00093268
70,568.256,1.34669,0.61761,0.00932,0.90264,0.71462,0.88508,0.45116,1.38832,0.66098,0.0086,0.00279507,0.00093169,0.00279507,0.00093169,0.00279507,0.00093169,0.00279507,0.00093169
71,576.407,1.28501,0.58837,0.0089,0.80535,0.76923,0.85095,0.44235,1.40967,0.69724,0.0087,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
72,584.638,1.33887,0.61186,0.00973,0.78049,0.92308,0.93127,0.4505,1.44731,0.66324,0.00919,0.00278913,0.00092971,0.00278913,0.00092971,0.00278913,0.00092971,0.00278913,0.00092971
73,592.531,1.29609,0.57068,0.00922,0.69399,1,0.83711,0.39575,1.44018,0.64445,0.00903,0.00278616,0.00092872,0.00278616,0.00092872,0.00278616,0.00092872,0.00278616,0.00092872
74,600.654,1.31126,0.56663,0.00961,0.64218,0.84615,0.76958,0.39166,1.43437,0.67173,0.00964,0.00278319,0.00092773,0.00278319,0.00092773,0.00278319,0.00092773,0.00278319,0.00092773
75,608.792,1.3289,0.57361,0.00988,0.56597,0.90346,0.7885,0.39985,1.43152,0.81932,0.00923,0.00278022,0.00092674,0.00278022,0.00092674,0.00278022,0.00092674,0.00278022,0.00092674
76,616.981,1.28347,0.55518,0.009,0.76142,0.69231,0.74196,0.33103,1.50837,1.09726,0.00996,0.00277725,0.00092575,0.00277725,0.00092575,0.00277725,0.00092575,0.00277725,0.00092575
77,625.005,1.13766,0.46121,0.0081,0.73508,0.61538,0.69719,0.31982,1.50941,1.07739,0.00967,0.00277428,0.00092476,0.00277428,0.00092476,0.00277428,0.00092476,0.00277428,0.00092476
78,632.93,1.25304,0.5041,0.00853,0.80916,0.69231,0.75547,0.34439,1.53416,0.92555,0.01029,0.00277131,0.00092377,0.00277131,0.00092377,0.00277131,0.00092377,0.00277131,0.00092377
79,641.016,1.23453,0.4324,0.00816,0.80499,0.69231,0.76521,0.35063,1.47648,0.76997,0.00971,0.00276834,0.00092278,0.00276834,0.00092278,0.00276834,0.00092278,0.00276834,0.00092278
80,649.255,1.34748,0.4582,0.00887,0.81629,0.68432,0.75825,0.37548,1.38567,0.84862,0.00894,0.00276537,0.00092179,0.00276537,0.00092179,0.00276537,0.00092179,0.00276537,0.00092179
81,657.352,1.28629,0.52858,0.00874,0.76458,0.75061,0.77642,0.43842,1.28318,0.85567,0.00796,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
82,665.434,1.17936,0.54167,0.00841,0.68732,0.84615,0.8104,0.4515,1.25457,0.80586,0.00779,0.00275943,0.00091981,0.00275943,0.00091981,0.00275943,0.00091981,0.00275943,0.00091981
83,673.572,1.27544,0.4788,0.0087,0.88766,0.61538,0.73545,0.39225,1.39322,0.96546,0.00879,0.00275646,0.00091882,0.00275646,0.00091882,0.00275646,0.00091882,0.00275646,0.00091882
