epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;train/angle_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;val/angle_loss;lr/pg0;lr/pg1;lr/pg2;lr/pg3;lr/pg4;lr/pg5;lr/pg6;lr/pg7
156;727.223;0.80878;0.31871;0.063;0.00639;0.91651;0.9;0,96948;0,72847;0.99568;0.46075;0.09698;0.00687;0.00253965;0.00084655;0.00253965;0.00084655;0.00253965;0.00084655;0.00253965;0.00084655
111;517.402;0.81828;0.32188;0.06516;0.00704;0.93722;0.9;0,96943;0,74543;0.98125;0.47254;0.09897;0.0051;0.0026733;0.0008911;0.0026733;0.0008911;0.0026733;0.0008911;0.0026733;0.0008911
47;219.015;114.767;0.50424;0.06496;0.0086;0.92457;0.925;0,96938;0,73423;101.801;0.49652;0.09678;0.00464;0.00286338;0.00095446;0.00286338;0.00095446;0.00286338;0.00095446;0.00286338;0.00095446
45;209.656;110.559;0.48938;0.04727;0.00801;0.91507;0.95;0,96933;0,72754;100.416;0.51087;0.09647;0.00601;0.00286932;0.00095644;0.00286932;0.00095644;0.00286932;0.00095644;0.00286932;0.00095644
225;1049.94;0.70668;0.25729;0.06655;0.00671;0.94721;0.89713;0,96918;0,70092;0.94765;0.51384;0.08886;0.00605;0.00233472;0.00077824;0.00233472;0.00077824;0.00233472;0.00077824;0.00233472;0.00077824
198;923.766;0.66126;0.28312;0.06208;0.00485;0.92299;0.89896;0,96915;0,73126;0.92913;0.49258;0.08583;0.00423;0.00241491;0.00080497;0.00241491;0.00080497;0.00241491;0.00080497;0.00241491;0.00080497
119;554.648;0.88274;0.34822;0.05411;0.00849;0.95183;0.875;0,96874;0,74205;0.97869;0.43327;0.09046;0.00558;0.00264954;0.00088318;0.00264954;0.00088318;0.00264954;0.00088318;0.00264954;0.00088318
73;340.235;0.98831;0.44969;0.05343;0.00897;0.94624;0.95;0,96855;0,723;100.094;0.46906;0.09437;0.006;0.00278616;0.00092872;0.00278616;0.00092872;0.00278616;0.00092872;0.00278616;0.00092872
234;1092.05;0.6567;0.37379;0.04285;0.00464;0.91646;0.95;0,96852;0,71778;0.94963;0.44309;0.08824;0.00479;0.00230799;0.00076933;0.00230799;0.00076933;0.00230799;0.00076933;0.00230799;0.00076933
90;419.588;0.89266;0.40421;0.06602;0.0089;0.9378;0.925;0,96846;0,74578;0.94746;0.49838;0.09922;0.00415;0.00273567;0.00091189;0.00273567;0.00091189;0.00273567;0.00091189;0.00273567;0.00091189
95;442.815;0.87364;0.51315;0.0647;0.00747;0.9917;0.875;0,96834;0,7173;0.97539;0.44588;0.09799;0.0038;0.00272082;0.00090694;0.00272082;0.00090694;0.00272082;0.00090694;0.00272082;0.00090694
109;508.02;0.83339;0.37394;0.06293;0.00703;0.93668;0.9;0,96798;0,74895;0.96906;0.48205;0.09643;0.00512;0.00267924;0.00089308;0.00267924;0.00089308;0.00267924;0.00089308;0.00267924;0.00089308
91;424.106;0.8863;0.3847;0.06839;0.00745;0.94817;0.95;0,96792;0,74447;0.92874;0.49244;0.09673;0.00381;0.0027327;0.0009109;0.0027327;0.0009109;0.0027327;0.0009109;0.0027327;0.0009109
226;1054.58;0.68718;0.26916;0.04746;0.00577;0.89724;0.95;0,96789;0,71624;0.95077;0.53843;0.08702;0.0066;0.00233175;0.00077725;0.00233175;0.00077725;0.00233175;0.00077725;0.00233175;0.00077725
59;274.893;103.562;0.47866;0.06415;0.00779;0.94523;0.875;0,9678;0,73986;0.9711;0.47398;0.09486;0.00434;0.00282774;0.00094258;0.00282774;0.00094258;0.00282774;0.00094258;0.00282774;0.00094258
